sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
120,SOUL & KEY CONSULTING LTD,16559890,Private Limited Company,Active,United Kingdom,03/07/2025,,,ONYX HOUSE 12 PHOENIX BUSINESS PARK,AVENUE CLOSE,BIRMINGHAM,WEST MIDLANDS,ENGLAND,B7 4NU,NO ACCOUNTS FILED,86230 - Dental practice activities,,,,http://business.data.gov.uk/id/company/16559890,,,,,,,,,,,,,,
121,THE WANDERPATH LTD,16376019,Private Limited Company,Active,United Kingdom,09/04/2025,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,62012 - Business and domestic software development,79901 - Activities of tourist guides,85590 - Other education n.e.c.,http://business.data.gov.uk/id/company/16376019,,,,,,,,,,,,,,
122,FISCAL HIRE LTD.,02621544,Private Limited Company,Active,United Kingdom,18/06/1991,,,GLADSTONE HOUSE,2 CHURCH ROAD,LIVERPOOL,,,L15 9EG,MICRO ENTITY,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/02621544,,,,,,,,,,,,,,
123,JB & MO PROPERTY HOLDINGS LTD,16866528,Private Limited Company,Active,United Kingdom,20/11/2025,,,WOOD END,MARSTON MORETAINE,BEDFORD,,UNITED KINGDOM,MK43 0NZ,NO ACCOUNTS FILED,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/16866528,,,,,,,,,,,,,,
124,ATLAS ENGINES LTD,SC464934,Private Limited Company,Active,United Kingdom,02/12/2013,,,21 FORBES PLACE,,PAISLEY,,SCOTLAND,PA1 1UT,UNAUDITED ABRIDGED,33170 - Repair and maintenance of other transport equipment n.e.c.,,,,http://business.data.gov.uk/id/company/SC464934,,,,,,,,,,,,,,
125,INGRAM HOLDINGS LIMITED,11031805,Private Limited Company,Active,United Kingdom,25/10/2017,,,50 WOODGATE,,LEICESTER,,UNITED KINGDOM,LE3 5GF,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/11031805,,,,,,,,,,,,,,
126,MULTITRANS LOGISTICS SERVICES LP,SL020457,Limited Partnership,Active,United Kingdom,22/04/2015,,,CENTRUM OFFICES,38 QUEEN STREET,GLASGOW,,SCOTLAND,G1 3DX,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/SL020457,,,,,,,,,,,,,,
127,SUCCEDIA CIC,16917001,Community Interest Company,Active,United Kingdom,17/12/2025,,,CONCORDIA COMMUNITY ENTERPRISE CENTRE RAILWAY ARCHES 420-421 BURDETT ROAD,RAILWAY ARCHES,LONDON,,ENGLAND,E3 4AA,NO ACCOUNTS FILED,88990 - Other social work activities without accommodation n.e.c.,,,,http://business.data.gov.uk/id/company/16917001,,,,,,,,,,,,,,
128,SONDEREL RESIDENTS ASSOCIATION LIMITED,02759927,Private Limited Company,Active,United Kingdom,28/10/1992,,,77 SANDHURST ROAD,,LONDON,,ENGLAND,SE6 1UP,MICRO ENTITY,98000 - Residents property management,,,,http://business.data.gov.uk/id/company/02759927,,,,,,,,,,,,,,
129,ROBERTO DELIVERS LTD,14480298,Private Limited Company,Active,United Kingdom,12/11/2022,,,62 OXFORD ROAD,,CANTERBURY,,ENGLAND,CT1 3QP,MICRO ENTITY,52290 - Other transportation support activities,,,,http://business.data.gov.uk/id/company/14480298,,,,,,,,,,,,,,
